user_id,restaurants_id,name,ratings
984e000e,9,桂花,3
992c8214,9,桂花,3
9b5dafc3,9,桂花,5
9bb7092b,9,桂花,4
9d01fc60,9,桂花,4
a1adac59,9,桂花,4
a5f6fd99,9,桂花,3
a800f062,9,桂花,2
aa3a2212,9,桂花,3
aa5103dd,9,桂花,4
abb2c23b,9,桂花,4
b5d7bfa0,9,桂花,3
bd6dbd71,9,桂花,2
bea19537,9,桂花,3
d0150fdb,9,桂花,3
d245ba80,9,桂花,4
d6b74d0f,9,桂花,3
d78cd15e,9,桂花,4
d806001b,9,桂花,3
dce34818,9,桂花,4
ee139b07,9,桂花,3
ef63980a,9,桂花,3
efdf9d94,9,桂花,3
f3da0590,9,桂花,2
f4207aee,9,桂花,4
fd3f1a10,9,桂花,3
fe58f1e8,9,桂花,4
fe7ebd82,9,桂花,0
0055e9bf,10,なんでんかんでん,2
0384ff3e,10,なんでんかんでん,2
09127da3,10,なんでんかんでん,4
0a7001dd,10,なんでんかんでん,1
102e82c6,10,なんでんかんでん,2
16b74446,10,なんでんかんでん,3
1a7c39c8,10,なんでんかんでん,3
1f5d53c5,10,なんでんかんでん,1
238da795,10,なんでんかんでん,1
264f5a6c,10,なんでんかんでん,2
2d990085,10,なんでんかんでん,1
2f5dee9f,10,なんでんかんでん,1
2f99e63f,10,なんでんかんでん,3
321f5215,10,なんでんかんでん,0
3a716c7b,10,なんでんかんでん,3
3b53b33b,10,なんでんかんでん,2
3f2dd6d0,10,なんでんかんでん,1
3ffe9244,10,なんでんかんでん,2
4a3506d5,10,なんでんかんでん,1
4c5b334f,10,なんでんかんでん,3
4d135fbd,10,なんでんかんでん,1
54290e14,10,なんでんかんでん,1
5487a05e,10,なんでんかんでん,3
58dca3c8,10,なんでんかんでん,1
5cc09fce,10,なんでんかんでん,2
60483fbd,10,なんでんかんでん,2
6a9c11ab,10,なんでんかんでん,2
6f49abb2,10,なんでんかんでん,1
82bc3b63,10,なんでんかんでん,2
8a974dfe,10,なんでんかんでん,3
9813a764,10,なんでんかんでん,2
989ba8d2,10,なんでんかんでん,3
9b5dafc3,10,なんでんかんでん,3
aac4df34,10,なんでんかんでん,4
ab64df1a,10,なんでんかんでん,1
ac8086a0,10,なんでんかんでん,1
b895ebab,10,なんでんかんでん,0
b9808887,10,なんでんかんでん,1
bf76d434,10,なんでんかんでん,1
bfd0d432,10,なんでんかんでん,3
c1bf2414,10,なんでんかんでん,1
c44a05f0,10,なんでんかんでん,2
c455e0d6,10,なんでんかんでん,2
c608b3f0,10,なんでんかんでん,3
d01a08a2,10,なんでんかんでん,2
d28dcca9,10,なんでんかんでん,2
d7d382df,10,なんでんかんでん,0
dfff94ed,10,なんでんかんでん,3
e266e520,10,なんでんかんでん,2
ee139b07,10,なんでんかんでん,2
efdf9d94,10,なんでんかんでん,2
f38e125c,10,なんでんかんでん,2
fb2223c1,10,なんでんかんでん,3
fc5e4c1c,10,なんでんかんでん,1
00efd3e3,11,九州じゃんがら,3
018e9b41,11,九州じゃんがら,4
02574126,11,九州じゃんがら,3
09127da3,11,九州じゃんがら,2
0c13126a,11,九州じゃんがら,4
102e82c6,11,九州じゃんがら,4
1234cdc2,11,九州じゃんがら,3
16b74446,11,九州じゃんがら,3
1710d968,11,九州じゃんがら,5
182b5a4e,11,九州じゃんがら,1
1a12db7d,11,九州じゃんがら,4
1a7c39c8,11,九州じゃんがら,2
1c20e974,11,九州じゃんがら,3
1d80b489,11,九州じゃんがら,5
1e95f082,11,九州じゃんがら,3
21458e62,11,九州じゃんがら,3
2417276a,11,九州じゃんがら,2
273b9b8c,11,九州じゃんがら,5
275971c4,11,九州じゃんがら,3
2a5a78c6,11,九州じゃんがら,4
2d095963,11,九州じゃんがら,5
2e239195,11,九州じゃんがら,2
2f99e63f,11,九州じゃんがら,4
2fc536a4,11,九州じゃんがら,3
3175ec98,11,九州じゃんがら,3
3222d3ea,11,九州じゃんがら,3
3972fa1b,11,九州じゃんがら,4
3b0df844,11,九州じゃんがら,4
3eb59ea5,11,九州じゃんがら,3
3f5fa04b,11,九州じゃんがら,5
3faa7d4f,11,九州じゃんがら,4
3ffe9244,11,九州じゃんがら,2
422d830c,11,九州じゃんがら,3
4b0a6841,11,九州じゃんがら,5
4da581fd,11,九州じゃんがら,4
52785e54,11,九州じゃんがら,4
52c9e7b3,11,九州じゃんがら,5
541547a3,11,九州じゃんがら,2
5487a05e,11,九州じゃんがら,3
58d9dd2c,11,九州じゃんがら,3
5a07ca58,11,九州じゃんがら,4
5b57d3ba,11,九州じゃんがら,5
5dc50dba,11,九州じゃんがら,2
6122fe8a,11,九州じゃんがら,3
61927ea3,11,九州じゃんがら,3
6420601f,11,九州じゃんがら,3
64705906,11,九州じゃんがら,3
657e4cbe,11,九州じゃんがら,2
66091d3d,11,九州じゃんがら,4
663059fd,11,九州じゃんがら,3
66f5ae91,11,九州じゃんがら,2
690ce155,11,九州じゃんがら,0
6ab94c9f,11,九州じゃんがら,2
6ba32ee6,11,九州じゃんがら,3
6bfd2779,11,九州じゃんがら,4
6e0262c4,11,九州じゃんがら,3
71be176f,11,九州じゃんがら,2
71ff3353,11,九州じゃんがら,3
7251b392,11,九州じゃんがら,4
74476a0f,11,九州じゃんがら,4
75391513,11,九州じゃんがら,3
7a407165,11,九州じゃんがら,2
7a6a39a0,11,九州じゃんがら,3
7a8cdd76,11,九州じゃんがら,4
7b489bb3,11,九州じゃんがら,3
7cbb3a6e,11,九州じゃんがら,3
7ee8d086,11,九州じゃんがら,3
86e2515a,11,九州じゃんがら,3
8a2634d2,11,九州じゃんがら,2
8bba2038,11,九州じゃんがら,2
8efa82a3,11,九州じゃんがら,3
8f3c0dc8,11,九州じゃんがら,4
91f3ea83,11,九州じゃんがら,1
9432a2a6,11,九州じゃんがら,3
9813a764,11,九州じゃんがら,1
984e000e,11,九州じゃんがら,3
9bb7092b,11,九州じゃんがら,2
9bd1969c,11,九州じゃんがら,4
a1adac59,11,九州じゃんがら,4
a26c1584,11,九州じゃんがら,4
a51a9f6f,11,九州じゃんがら,4
a523e63f,11,九州じゃんがら,2
a6dfe7f6,11,九州じゃんがら,3
a800f062,11,九州じゃんがら,3
ab693610,11,九州じゃんがら,4
ab81ca7e,11,九州じゃんがら,4
adb8ef9e,11,九州じゃんがら,3
aedc5c88,11,九州じゃんがら,4
af6faece,11,九州じゃんがら,3
b01fd959,11,九州じゃんがら,4
b102fa4b,11,九州じゃんがら,4
b28e667a,11,九州じゃんがら,4
b3a7b358,11,九州じゃんがら,1
b97108b8,11,九州じゃんがら,4
b9808887,11,九州じゃんがら,4
ba48d789,11,九州じゃんがら,4
bf46bdaf,11,九州じゃんがら,3
bfb333f9,11,九州じゃんがら,3
c007d60f,11,九州じゃんがら,3
c3f46ae7,11,九州じゃんがら,2
